,count,store
0,11168181,1.0
1,2366679,2.0
2,4490595,8.0
3,6213444,13.0
4,6278558,14.0
5,1755935,20.0
6,5508502,22.0
7,5334376,25.0
8,3548155,26.0
9,2705424,28.0
10,6098329,34.0
11,2485411,38.0
12,5733048,44.0
13,2646001,46.0
14,7014892,50.0
15,11735290,56.0
16,1674356,58.0
17,7337081,61.0
18,2187740,64.0
19,4974562,74.0
20,11131652,76.0
21,3750903,80.0
22,4242735,82.0
23,2775071,85.0
24,10942880,86.0
25,6141864,88.0
26,6371889,91.0
27,2733305,92.0
28,4094251,94.0
29,3250516,97.0
30,2857243,104.0
31,8146289,118.0
32,7959839,122.0
33,7642696,128.0
34,7104403,134.0
35,3805839,136.0
36,3186230,139.0
37,7728508,146.0
38,4071702,148.0
39,7202870,151.0
40,2687783,154.0
41,2982819,157.0
42,5993041,160.0
43,6358923,163.0
44,2617662,164.0
45,4176551,170.0
46,4781557,187.0
47,9992598,188.0
48,7853619,193.0
49,6512505,194.0
50,8179857,199.0
51,2536576,205.0
52,2989690,206.0
53,7975197,208.0
54,2155203,211.0
55,3065275,214.0
56,3333726,224.0
57,4320091,226.0
58,6176868,229.0
59,9030986,232.0
60,5717483,235.0
61,11318594,236.0
62,8374056,242.0
63,5891218,244.0
64,5567704,248.0
65,2070026,250.0
66,11857101,253.0
67,2662166,259.0
68,11962691,260.0
69,10445776,262.0
70,1924473,265.0
71,3638039,266.0
72,9778370,278.0
73,2244105,280.0
74,4947661,283.0
75,3575899,295.0
76,3511906,301.0
77,3839574,304.0
78,5451019,310.0
79,1862057,316.0
80,2029674,319.0
81,1885120,320.0
82,9296992,325.0
83,11208901,328.0
84,4603232,331.0
85,2004298,332.0
86,5636679,340.0
87,9073220,343.0
88,8300015,344.0
89,1752096,346.0
90,11323102,350.0
91,7613610,352.0
92,9710637,355.0
93,4759821,356.0
94,10541141,358.0
95,9100670,361.0
96,6308422,367.0
97,3058272,374.0
98,4364357,376.0
99,4506219,382.0
100,1798173,385.0
101,2132560,397.0
102,4213141,398.0
103,3099669,403.0
104,1770548,410.0
105,3031145,412.0
106,2501437,415.0
107,11042261,418.0
108,5202393,421.0
109,1992169,424.0
110,5264803,427.0
111,6412140,430.0
112,3603652,446.0
113,7295259,448.0
114,3906847,452.0
115,10523454,454.0
116,9595680,457.0
117,6314927,458.0
118,9464919,463.0
119,7765778,472.0
120,7717748,475.0
121,1772775,476.0
122,3712363,481.0
123,5255217,484.0
124,4727735,502.0
125,4654907,505.0
126,4691889,508.0
127,9518857,512.0
128,4797165,514.0
129,1810494,520.0
130,2906445,524.0
131,2302737,526.0
132,5661293,532.0
133,2930995,535.0
134,1854930,536.0
135,6639316,547.0
136,4443691,548.0
137,10479257,554.0
138,8939411,559.0
139,3442583,560.0
140,4857018,562.0
141,5108411,566.0
142,2415395,568.0
143,12130299,574.0
144,1706476,578.0
145,7226045,580.0
146,3120000,584.0
147,3894314,589.0
148,10201993,592.0
149,5126729,595.0
150,2994506,598.0
151,3357910,601.0
152,4827862,602.0
153,10276848,608.0
154,10663557,614.0
155,5357579,616.0
156,5982051,619.0
157,7075461,625.0
158,11790604,634.0
159,2890127,637.0
160,2368754,638.0
161,7880998,644.0
162,2156678,650.0
163,2537720,652.0
164,4889846,655.0
165,3786012,658.0
166,2224929,661.0
167,9822737,668.0
168,5905347,673.0
169,8888413,682.0
170,2118443,685.0
171,8825804,686.0
172,6781441,691.0
173,11077382,692.0
174,3950904,700.0
175,8748637,704.0
176,3234183,706.0
177,8209115,709.0
178,9220787,710.0
179,6694650,712.0
180,4303132,715.0
181,11691682,718.0
182,3302009,722.0
183,3487214,724.0
184,2112687,728.0
185,9198202,734.0
186,6537921,740.0
187,11258717,745.0
188,12005911,746.0
189,3658166,748.0
190,2572839,763.0
191,7142539,764.0
192,11398401,766.0
193,3474959,769.0
194,4712610,770.0
195,3219573,775.0
196,2608368,781.0
197,8971152,784.0
198,6463806,787.0
199,5057965,788.0
200,3990752,790.0
201,2957882,793.0
202,9904697,796.0
203,1900389,799.0
204,4981967,800.0
205,7151139,802.0
206,8114241,805.0
207,3138479,808.0
208,2754569,814.0
209,8520294,820.0
210,3287548,823.0
211,5854172,824.0
212,6592752,830.0
213,4171841,832.0
214,3516108,838.0
215,5802678,841.0
216,10782091,842.0
217,11900504,847.0
218,3462104,848.0
219,5945253,850.0
220,3987596,854.0
221,5770630,856.0
222,9614146,859.0
223,2287295,862.0
224,3386002,865.0
225,10819617,868.0
226,5493171,871.0
227,3068999,872.0
228,2124401,874.0
229,9263247,880.0
230,11808444,883.0
231,3862673,898.0
232,5024592,901.0
233,2016997,904.0
234,2839606,907.0
235,1816594,914.0
236,11632036,916.0
237,6839758,919.0
238,1993263,922.0
239,7525145,925.0
240,11583136,926.0
241,10321597,928.0
242,3415030,932.0
243,2795210,934.0
244,3095431,938.0
245,9755393,940.0
246,5366319,946.0
247,7255277,949.0
248,1862096,955.0
249,6118240,956.0
250,10412392,958.0
251,6561037,968.0
252,3862268,973.0
253,1843499,976.0
254,4597165,979.0
255,2254637,982.0
256,3589228,985.0
257,6476859,988.0
258,7836565,998.0
259,1170256889,1002.0
260,32197884,
