,sum,store
0,600935918.72,1.0
1,127274298.24,2.0
2,241745587.49,8.0
3,334400632.06,13.0
4,337852084.37,14.0
5,94557639.58,20.0
6,296503840.58,22.0
7,287015284.6,25.0
8,190867697.95,26.0
9,145500666.2,28.0
10,328282375.33,34.0
11,133625251.31,38.0
12,308387027.73,44.0
13,142444336.02,46.0
14,377377441.15,50.0
15,631607043.63,56.0
16,89875719.82,58.0
17,394801543.14,61.0
18,117646502.78,64.0
19,267883530.78,74.0
20,598959999.1,76.0
21,201934091.22,80.0
22,228280981.09,82.0
23,149290926.47,85.0
24,588853812.01,86.0
25,330558170.86,88.0
26,342736707.67,91.0
27,147043509.01,92.0
28,220397781.92,94.0
29,174850251.58,97.0
30,153627694.2,104.0
31,438035876.39,118.0
32,428216651.94,122.0
33,411306267.96,128.0
34,382060028.96,134.0
35,204797565.2,136.0
36,171525234.37,139.0
37,415737693.32,146.0
38,219159964.08,148.0
39,387539002.94,151.0
40,144665475.65,154.0
41,160586639.72,157.0
42,322462423.52,160.0
43,342271592.37,163.0
44,140999064.71,164.0
45,224732387.71,170.0
46,257563119.45,187.0
47,537490358.9,188.0
48,422343699.11,193.0
49,350505897.79,194.0
50,440076865.13,199.0
51,136545670.86,205.0
52,160934956.82,206.0
53,428861160.56,208.0
54,115969787.08,211.0
55,164850442.52,214.0
56,179488019.57,224.0
57,232281129.94,226.0
58,332363388.04,229.0
59,485755570.99,232.0
60,307738129.32,235.0
61,609252883.88,236.0
62,450477689.85,242.0
63,316963008.5,244.0
64,299471766.31,248.0
65,111467860.22,250.0
66,637974962.34,253.0
67,143376173.02,259.0
68,643597365.0,260.0
69,562103880.59,262.0
70,103555578.13,265.0
71,195496366.46,266.0
72,526006670.39,278.0
73,120785224.11,280.0
74,266219430.67,283.0
75,192371661.81,295.0
76,188861581.42,301.0
77,206564151.96,304.0
78,293413302.11,310.0
79,100125723.21,316.0
80,109249421.69,319.0
81,101517670.26,320.0
82,500563703.19,325.0
83,603125904.58,328.0
84,247654371.52,331.0
85,107875698.15,332.0
86,303437523.84,340.0
87,488279023.03,343.0
88,446872125.26,344.0
89,94191579.16,346.0
90,609281385.65,350.0
91,409800222.75,352.0
92,522778697.93,355.0
93,256135255.7,356.0
94,567073917.84,358.0
95,489838107.11,361.0
96,339270881.67,367.0
97,164513623.45,374.0
98,234733234.19,376.0
99,242503152.15,382.0
100,96784198.93,385.0
101,114834455.81,397.0
102,226720497.47,398.0
103,166897045.9,403.0
104,95265480.05,410.0
105,163131439.76,412.0
106,134612623.81,415.0
107,594312555.3,418.0
108,279940333.53,421.0
109,107173876.62,424.0
110,283236437.41,427.0
111,344946785.63,430.0
112,193910499.21,446.0
113,392696499.49,448.0
114,210069593.79,452.0
115,566324909.85,454.0
