,sum,store
0,600496633.92,1.0
1,127220360.59,2.0
2,241568554.75,8.0
3,334135423.65,13.0
4,337698070.78,14.0
5,94500840.83,20.0
6,296212048.67,22.0
7,286833260.29,25.0
8,190723516.98,26.0
9,145419131.01,28.0
10,328017898.37,34.0
11,133560687.89,38.0
12,308157804.33,44.0
13,142362347.41,46.0
14,377146361.03,50.0
15,631103538.86,56.0
16,89816259.72,58.0
17,394610617.69,61.0
18,117582373.02,64.0
19,267643139.98,74.0
20,598496941.14,76.0
21,201797501.86,80.0
22,228125191.79,82.0
23,149200720.64,85.0
24,588442847.79,86.0
25,330340635.17,88.0
26,342534874.84,91.0
27,146961093.05,92.0
28,220268243.63,94.0
29,174743886.41,97.0
30,153527880.32,104.0
31,437733405.27,118.0
32,427975920.46,122.0
33,411030033.27,128.0
34,381790835.22,134.0
35,204675540.01,136.0
36,171408130.03,139.0
37,415452029.66,146.0
38,219060565.14,148.0
39,387218042.15,151.0
40,144537951.7,154.0
41,160494000.56,157.0
42,322242425.07,160.0
43,342024894.32,163.0
44,140920245.72,164.0
45,224614958.52,170.0
46,257390707.42,187.0
47,537151100.95,188.0
48,422110588.27,193.0
49,350295109.3,194.0
50,439779492.59,199.0
51,136393290.13,205.0
52,160831190.7,206.0
53,428539576.57,208.0
54,115888425.1,211.0
55,164770655.06,214.0
56,179343744.17,224.0
57,232146109.75,226.0
58,332173549.95,229.0
59,485373388.59,232.0
60,307558390.99,235.0
61,608867248.35,236.0
62,450263988.51,242.0
63,316654995.64,244.0
64,299261093.08,248.0
65,111356440.09,250.0
66,637492764.74,253.0
67,143246261.32,259.0
68,643087462.84,260.0
69,561733258.28,262.0
70,103481002.09,265.0
71,195343668.49,266.0
72,525633822.78,278.0
73,120686396.79,280.0
74,266066422.43,283.0
75,192222068.01,295.0
76,188783874.96,301.0
77,206481457.39,304.0
78,293236791.19,310.0
79,100106180.81,316.0
80,109183432.21,319.0
81,101474829.29,320.0
82,500221265.67,325.0
83,602747705.27,328.0
84,247487642.93,331.0
85,107788335.79,332.0
86,303222959.95,340.0
87,488000630.22,343.0
88,446642677.28,344.0
89,94131850.13,346.0
90,608947117.75,350.0
91,409506101.26,352.0
92,522486967.99,355.0
93,255900643.87,356.0
94,566686087.91,358.0
95,489527273.57,361.0
96,339027277.49,367.0
97,164405870.6,374.0
98,234598582.1,376.0
99,242347657.35,382.0
100,96723823.43,385.0
101,114724108.88,397.0
102,226563128.54,398.0
103,166768186.42,403.0
104,95208822.44,410.0
105,163047024.67,412.0
106,134453765.11,415.0
107,593926037.39,418.0
108,279744115.36,421.0
109,107120313.5,424.0
110,283021368.36,427.0
111,344685304.24,430.0
112,193821222.98,446.0
113,392400508.17,448.0
114,209906466.26,452.0
115,565930380.86,454.0
116,515788947.16,457.0
117,339699499.32,458.0
118,509275891.41,463.0
119,417392083.49,472.0
120,415150106.0,475.0
121,95324046.9,476.0
122,199812542.03,481.0
123,282423105.92,484.0
124,254328171.97,502.0
125,250326397.88,505.0
126,252438508.73,508.0
127,511765975.67,512.0
128,257898644.87,514.0
129,97315420.38,520.0
130,156382626.78,524.0
131,123599732.57,526.0
132,304375812.66,532.0
133,157672322.3,535.0
134,99707164.32,536.0
135,357009956.98,547.0
136,238831609.24,548.0
137,563594326.52,554.0
138,480440828.74,559.0
139,184966374.93,560.0
140,261101629.77,562.0
141,274710087.38,566.0
142,129916950.78,568.0
143,652290636.45,574.0
144,91779885.72,578.0
145,388537825.87,580.0
146,167811624.05,584.0
147,209333321.91,589.0
148,548312965.34,592.0
149,275739413.2,595.0
150,161034548.81,598.0
151,180358759.61,601.0
152,259707052.35,602.0
153,552721406.98,608.0
154,573317509.08,614.0
155,287958988.08,616.0
156,321716458.09,619.0
157,380727358.04,625.0
158,633584419.47,634.0
159,155452668.16,637.0
160,127342016.05,638.0
161,423777509.2,644.0
162,115970559.37,650.0
163,136296982.06,652.0
164,262877789.7,655.0
165,203663708.41,658.0
166,119650134.03,661.0
167,528223013.04,668.0
168,317463742.02,673.0
169,478136439.47,682.0
170,113909555.0,685.0
171,474418054.9,686.0
172,364718688.07,691.0
173,595497187.44,692.0
174,212635294.76,700.0
175,470466159.7,704.0
176,173890080.5,706.0
177,441269868.22,709.0
178,495704516.14,710.0
179,359815185.58,712.0
180,231337381.8,715.0
181,628518371.67,718.0
182,177423269.12,722.0
183,187493142.68,724.0
184,113654013.28,728.0
185,494440792.73,734.0
186,351478015.81,740.0
187,605479689.63,745.0
188,645614819.54,746.0
